occurrence_id,passage_id,deal_id,document_id,accession_number,document_type,document_family,source_url,heading,block_start,block_end,char_start,char_end,duplicate_group_id,content_sha256
occurrence_a5944b666d2a64cc,passage_a003b89be13ba97b,3701621020,supp_de9d737d2dd430ac,,official_company_announcement,official_announcement,https://www.algolia.com/blog/algolia/i-co-founded-the-ai-company-that-joined-algolia,,270,270,5101,5720,duplicate_a003b89be13ba97b,a003b89be13ba97b043ad009a21743e3ecabd35bb9da0f4c9947bf8cb8128d14
occurrence_a9273c7b67cfb170,passage_5b9ea1ff628a1d67,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,347,347,11694,11859,duplicate_5b9ea1ff628a1d67,5b9ea1ff628a1d67ebdd37ee0b1252fe905cd6d1ccd349cf9a5a21ab57bc60e8
occurrence_ad96fe2d690b5357,passage_151a4a2dd3fbc967,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1250,1250,43833,43900,duplicate_151a4a2dd3fbc967,151a4a2dd3fbc967363bc3b186f3c24755d464de7a82993f23ee870ab657df2e
occurrence_b113a5562adbc431,passage_e1be5c3842829237,3984774040,supp_27bba806dccbb131,,primary_sec_filing,official_announcement,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,,28,28,1713,1772,duplicate_e1be5c3842829237,e1be5c38428292375cd6c962ba676098c504b2c312d607a0f4bc53fb02a20c92
occurrence_b1eeaa86e1b240ab,passage_d2af94049325cd2e,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1367,1367,47832,47929,duplicate_d2af94049325cd2e,d2af94049325cd2e519b489b7539bae2a6ecd0a3975a47fb0b0db2c10402107b
occurrence_b1faa1034aa79d59,passage_bf1c5581dc674300,3201487020,supp_afd5f3e53a041df6,,official_company_announcement,official_announcement,https://www.smartsheet.com/content-center/news/smartsheet-announces-converseai-natural-language-automation-acquisition,,124,124,5265,5734,duplicate_bf1c5581dc674300,bf1c5581dc67430022568824718dddc6d6d96e3a887a4b3edc456bb6c3d788b7
occurrence_b48b4aa89603fe44,passage_4cc3d2a5e68feaff,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1145,1145,40137,40225,duplicate_4cc3d2a5e68feaff,4cc3d2a5e68feaff5eecd83a49b8fa47cc8c720634d52a94939ea21f32c435ad
occurrence_b6637b7386adbe3f,passage_72378914b191a65a,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1337,1337,46822,46900,duplicate_72378914b191a65a,72378914b191a65a3747e2a7ec425fe03ff26bd1e33f9bd7d5946186f21ba580
occurrence_b99d85f5b515ce87,passage_cbb32f754ce6eda1,3769973020,supp_51c55fd18a22cc50,,official_company_announcement,official_announcement,https://www.fortinet.com/blog/business-and-technology/fortinet-acquires-application-security-innovator-skenai-to-accelerate-devsecops,,32,32,3145,3399,duplicate_cbb32f754ce6eda1,cbb32f754ce6eda1589ab3b9a6ac59a3fbac98cd96b51c54e7659d5de85c75fc
occurrence_b9a37db91c04e116,passage_dd89ff8e103e9095,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1397,1397,48893,48980,duplicate_dd89ff8e103e9095,dd89ff8e103e90954f5b7371be24725e0ed5033f0ce52df68d9df754ba11fd9c
occurrence_bea1ae3b67be46d3,passage_e3bfc3677ae905eb,3727571020,supp_f56ffb1c8870a6f6,,official_company_press_release_distributor,official_announcement,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,,52,52,2335,3076,duplicate_e3bfc3677ae905eb,e3bfc3677ae905ebcb42f46f64f9552d6549716cdfce56bef335b106ff9d6c15
occurrence_bfd9d3d9be0aba28,passage_ec77b33430e0f1b4,3078525020,supp_327ff1ecfdd9a623,,official_company_announcement,official_announcement,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,,249,249,24739,24791,duplicate_ec77b33430e0f1b4,ec77b33430e0f1b44d82b850c12bb25fa77b453c6facfb02aa7b529970413cfa
occurrence_bfe1d46da7ea90df,passage_bc22833d2d7672e5,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,1784,1784,61308,61393,duplicate_bc22833d2d7672e5,bc22833d2d7672e50b445c15996392cacc729eead58d6d42150ab3a1aeeb1d23
occurrence_c094d60c37df3746,passage_46c26553e663b974,3984774040,supp_27bba806dccbb131,,primary_sec_filing,official_announcement,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,,209,209,50769,52100,duplicate_46c26553e663b974,46c26553e663b974d95ffba8a38ad98df3aa6ce34f9de432bff82ef3c9269399
occurrence_c5687e139a51cba7,passage_2cf3c77a8aa72614,3153170020,supp_6bb6449c48074311,,official_company_announcement,official_announcement,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,,105,105,5764,5779,duplicate_2cf3c77a8aa72614,2cf3c77a8aa726147bd3a2dc5c8597eae4d3479a1830884ebb080f3c64233031
occurrence_c7eb51e739747c17,passage_b5d837129601c64c,3767523020,supp_1850451931a95a19,,official_company_announcement,official_announcement,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,,788,788,27869,27953,duplicate_b5d837129601c64c,b5d837129601c64c9666ad6a7d2673054eae65a0c9f104ca15d2d707dc61a91b
occurrence_cd12b2ca079bfb15,passage_f3de41039e0c29fc,3727571020,supp_f56ffb1c8870a6f6,,official_company_press_release_distributor,official_announcement,https://www.globenewswire.com/news-release/2021/04/08/2206486/0/en/appharvest-acquires-agricultural-robotics-and-artificial-intelligence-company-root-ai-to-increase-efficiency.html,,53,53,3077,3748,duplicate_f3de41039e0c29fc,f3de41039e0c29fc360a185e35656f86b39a0751112d304b092762e5c6c36bc5
